Player,Link
,Data processed by Daubit. https://daubit.org/
,Data used from https://www.otmnft.com/
Richard Jefferson,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+682565a3-9490-4b27-abee-638047b0534c
Robert Horry,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+b38848d0-da80-4381-be68-4bb638776ada
Roy Hibbert,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+8286e3c3-3bdc-4d2c-b0b2-8caa5a6c178c
Saben Lee,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+174c7c5c-34f1-4617-91e3-fc8b9ea7df40
Sam Merrill,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+7c754c43-7982-4e0c-b105-6dbb358d0a2b
Sami Whitcomb,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+2ae7af50-481f-4a88-a35e-177984b370aa
Santi Aldama,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+4e561064-17ad-4364-b755-146a58a0f86b
Sean McDermott,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6630310e-76d0-4b01-8184-c131e939c712
Seimone Augustus,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+5f012df2-d37b-4150-a53b-4410ee5233c7
Sekou Doumbouya,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+733196bd-0c9b-4d9f-9b9d-547ae7a10b4a
Semi Ojeleye,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1285e0ae-733d-428f-9dda-ffd35189e2c8
Shane Battier,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+9c5e3862-1469-4d7b-af37-ecf98ae16b3e
Sheryl Swoopes,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+38477e4d-306f-4ee9-90e4-a1ab560e6f55
Skylar Mays,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+7be73d5f-c696-4b28-a94b-de9788e764f3
Smush Parker,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+647c8594-353e-45fa-9c9f-c6d0316e159b
Solomon Hill,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+852f1c1b-c82a-4f18-aeb2-817e83b0afcd
Sophie Cunningham,https://www.nbatopshot.com/listings/p2p/902b6c87-0e91-4768-a660-195fc0173f14+07f50bd4-3b38-4e0e-9a95-aafd1a1f57a8
Sterling Brown,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6beb22f3-d8b4-4d05-b22d-0257be9b563b
Stromile Swift,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+d732aeb5-1afc-4a55-a425-29f2fe299620
Swin Cash,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+62a0a0f6-b156-453e-a3c2-4d9e34d0bad9
Sydney Wiese,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+67347f54-0664-4403-8373-a2f3b8d1919e
Taj Gibson,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+38d995f9-86a3-4eb0-a009-39cefee9ed4a
Tamika Catchings,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+ebd891a9-c6a7-4c02-91fa-7afd986ffda6
Te'a Cooper,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+e513d1ee-c637-4f3d-b51d-5b62ed013138
Teaira McCowan,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+fe85935b-363b-411d-8b82-ec58e717d3d8
Teresa Weatherspoon,https://www.nbatopshot.com/listings/p2p/9a009433-a0f7-4f02-80a1-59c2837b7384+d92ec780-ec68-4bd7-a048-e13db16c70d6
Ticha Penicheiro,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+afbd5429-6ab5-4d0b-bf73-654b9eead658
Tiffany Hayes,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+f4af3b74-7ad3-4139-af15-7a27e2cf6ac6
Tiffany Mitchell,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+63d7e85d-5dc8-4f89-b3f4-5fa888f416fd
Tina Thompson,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+98853b79-0e62-4b4f-a99f-3dd739693a87
Tony Snell,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+04e68787-d54d-4fc7-bb24-742407f13a04
Tre Jones,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e70d5fdd-e556-4bb5-9a9b-1a044a715779
Tremont Waters,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+de037459-fc93-41c7-b04a-a86a3963b418
Trey Murphy III,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+23a0b351-ef3d-49d4-95a8-b7dc21d03189
Tyson Chandler,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+e9a6e8c3-0fa4-445e-8178-839ba71407a7
Udoka Azubuike,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4ce32918-d9ad-44fc-8040-d127ac6386c4
Usman Garuba,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+af23af7e-c409-4f6e-bca4-0c12d5fe5573
Wally Szczerbiak,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+ac813e97-c949-414d-8d78-2e9b448ff177
Wesley Matthews,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+4da288f3-0b56-4041-961b-440ef078a39a
Willie Cauley-Stein,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f5507996-6c2b-4630-b217-fcb79f54b302
Yolanda Griffith,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+f46a110c-def1-4a37-91a2-d061faf3a0e9
Zach Randolph,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+e5ae87f0-f4f9-4dad-bad2-37cb0cb7aa64
Zeke Nnaji,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+99ed1382-c37c-4ee0-915f-139f6b58271a
Ziaire Williams,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+bf0d1f57-613d-40f8-84c6-68f9fef4662b
