Player,Link
,Data processed by Daubit. https://daubit.org/
,Data used from https://www.otmnft.com/
Cory Joseph,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+7b37d950-eaf9-4e6f-977d-517f12713828
Courtney Williams,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+663ca024-6112-40e2-b8d5-ab8eb4e81f46
Crystal Bradford,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+cb416d8e-c8c6-48cf-87bd-4771a27b0b23
Crystal Dangerfield,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+2b2cf73f-ed5b-4fb2-9a76-b3a7b9e97bc9
Cynthia Cooper,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+0a572b66-eb8f-4729-90a2-3adb463b1987
D.J. Augustin,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bcf92dba-6f04-4d90-8251-de6d1124dc85
Dalano Banton,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+301e2fbc-5bf7-48f3-8757-f367b56fc375
Damyean Dotson,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2af1abc7-c73b-4b21-9518-f41760eb0ffe
Dana Evans,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+fe562289-d12e-412b-b065-9f25daf3fecc
Danielle Robinson,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+d791ed28-65d8-4431-9364-8e6f16ab15ae
Danilo Gallinari,https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+90125589-afe8-41d9-88d8-857d5898b2ae
DaQuan Jeffries,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a3b4e4fd-131a-4fdb-b9a3-5e60b258b62b
Dario Šarić,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+af4d6dae-ebb1-4683-bcaf-b9cf105c47d8
Darius Miles,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+bb5cd182-1580-4d62-9805-6f0e80eed34d
Dean Wade,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c8248c27-b231-4ad0-b431-9908f6268ffa
Dearica Hamby,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+36016a33-f514-42b0-b05d-01426a748dbc
Denzel Valentine,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6b86a1af-2d34-4d12-95cc-f703d36ce61b
Dewayne Dedmon,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+cc617c04-0c80-433f-8b81-88712f7a70fd
Diamond DeShields,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+42e195e4-15f3-41e3-84cb-1c94450191e7
DiDi Richards,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+655359b4-c405-4972-a8d3-504c310a51e8
DiJonai Carrington,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+febe621b-40a0-4fcf-974a-08c0a4d1bead
Donte DiVincenzo,https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+5d2bd103-f920-4f5e-a53b-cff969005384
Duane Washington Jr.,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+0dd81fc0-f156-4cae-9478-db398f8db328
Dwayne Bacon,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+73a9def7-2c9d-457f-8ce4-215b0dba6cd6
Dylan Windler,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ec488c41-8f47-41b3-976e-211080277c8d
E'Twaun Moore,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d26004d9-8c58-4daa-87c8-2a0c7d795340
Elfrid Payton,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+211c8cbe-9268-4338-8098-20c1b1d8e2fa
Erica Wheeler,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+d8ea6439-d1f2-47f6-82e5-8fa64f177fc6
Ezi Magbegor,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+4d01daa5-4a49-4960-9d23-23c9c75daf6e
Frank Kaminsky,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+e5cb7182-e2b7-4ab3-8fc2-0738b79f30c1
Frank Ntilikina,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+1014fc9f-8849-4242-a2f2-df43234b6cac
Furkan Korkmaz,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+49778ceb-6c0e-4e2b-9ce0-fef4c6c8d612
Gabe Vincent,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+1e69a79a-bc45-4648-8ff0-b54092e784aa
Garrett Temple,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3895fb8a-5441-4c22-8479-4ec80fa80d98
Glenn Robinson III,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9c93665e-b213-4131-9cde-b19442a39fcb
Goga Bitadze,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2e6fd9a1-0db7-4eb5-bedd-43c781735d3a
Hakim Warrick,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+cfa27967-128e-42bd-a30e-f6abd3abc9de
Isaac Bonga,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5949f646-d0ce-4eda-bd74-7f786793013f
Isabelle Harrison,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+2eed4e7c-706b-4d1c-a2c5-38f298bf13d0
Isaiah Jackson,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+b25ba0fd-efc7-4703-b02f-4d87876048a7
Isaiah Joe,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+872c5466-c213-4ee3-8a56-9952cc41205f
Jackie Young,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+231e7646-0246-4594-b6d2-c3be765d7be6
JaKarr Sampson,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9fe3fb82-a812-4cb6-8924-ec078c6401e9
Jake Layman,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3ed31b5b-eeb5-4c6c-bb77-3c722d5bd813
Jalen Johnson,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+cb7ec843-97a8-4937-bccc-d15e8ce940ff
Jalen McDaniels,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+2970e096-736f-4264-9123-7c32b474ff55
Jalen Smith,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ca0de16f-1e25-401b-8410-bad1e4f5907f
Jameer Nelson,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+e61602c7-de7a-40d0-9df5-66ac31dfdfce
James Bouknight,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+f0e6f2a7-8929-4d61-92ff-bcad40f6ffb3
James Ennis III,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+37fba682-33f9-4a38-8a42-5c99a88a822f
Jared Jeffries,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+29f8b1e5-bde9-462b-9630-a1343d984bbb
Jaren Jackson Jr.,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+11fbd1b2-9a0c-4cda-a417-393c63eb74dc
Jarrett Jack,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+8a6212c9-6fe4-426e-80f0-771134d7cfce
Jasmine Thomas,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+414b3a04-c712-4d8e-92fd-7d2b5bf6d058
Jason Williams,https://www.nbatopshot.com/listings/p2p/3806ab9e-bd18-4e8e-8534-1d0b05492b2d+15fc725e-83bc-42d3-8581-ea684ccb0586
Jaylen Nowell,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+64d91ee1-bbcc-4b5a-a56c-968b803a7492
Jeff Hornacek,https://www.nbatopshot.com/listings/p2p/3806ab9e-bd18-4e8e-8534-1d0b05492b2d+1f66624c-6781-47e2-98d9-4734fa3bb58d
Jeremiah Robinson-Earl,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+dd8b9a5c-d4f5-47eb-a82c-758637d61078
Jeremy Lamb,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c831e133-5238-4747-a7de-f238ae02267a
Jevon Carter,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5e23e667-5a3d-4902-9e4f-b0466bfbe0ea
Jewell Loyd,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+907586f7-0b3a-4a03-946c-2f7ec960401e
Jock Landale,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+a5b43647-93ea-4023-aae7-d22be919253d
John Konchar,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+c3ad25db-4d0f-4b62-9c7d-a1e990a380a9
Jordin Canada,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+9f81a7c2-d429-4da1-99f4-7561b29d5c21
Jose Alvarado,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+448ca3f3-cbdd-470c-8087-45b4276f24da
Josh Christopher,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+d3eed578-1a87-48c4-b44f-5e8fb49a58b6
Joshua Primo,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+4676381d-e097-41e1-a00b-3f70f2490bc1
JT Thor,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+5b450bf0-a788-45c7-beef-a131ca77563f
Juancho Hernangómez,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9aa07a11-ab53-48e3-8b59-0520cb32a624
Katie Lou Samuelson,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+bb832b65-73e2-4c1c-ae0d-66df94458128
Katie Smith,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+11e739cd-a8a4-49cf-8569-bc5f4221c4c2
Kayla McBride,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+33f2309d-955e-4ce6-9cac-6df9cb64a78a
Keita Bates-Diop,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+e4ecf3b8-8990-4e58-966a-5e92617a6767
Kelan Martin,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+19d764e7-d54f-469b-b490-60c0d86601c3
Kelsey Mitchell,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+3458227b-7abd-429a-b75d-7572ef5f0269
Kelsey Plum,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+3e8961ec-a99b-4d86-b652-7f27ffb178d9
Kenrich Williams,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+10341a0e-af57-4a52-87a9-6bfef2add1b3
Kenyon Martin,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+595e3ecd-8951-44d7-bf89-14dbb11953ed
Kessler Edwards,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+b679ac62-05bf-4362-851b-21193e8fb294
Kevin Knox,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+14c9f689-0d6d-4d7b-b77c-bc716f3d7474
Kevin Martin,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+6c5d814d-64a5-47c5-8067-db93dd606209
Kia Nurse,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+700b5465-d769-4213-9af2-0551e092b346
Killian Tillie,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+6ddaa358-aed6-48fd-bc85-236499539249
Kira Lewis Jr.,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4f458aad-8364-42a7-a27f-1b72190407b0
Kristi Toliver,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+89332bb9-fdf3-42b2-8162-5fdf37bb5e4f
Kyle Korver,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+d3a7c570-963b-47c6-8760-5b01da13d2fb
Kysre Gondrezick,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+e87a0863-8c16-45d9-8057-c68af2583078
KZ Okpala,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+781c4a81-1193-4c28-95aa-f55b39d9b80e
